Student_Names,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment
पायल Gupta,4,Yes,83,83,30,B,Average Performance
Dineshwar Sonkar,3,No,64,36,24,D,Poor Pursuance
Dibyajyoti Pandit,4,No,95,100,36,B+,Good Pursuance
Sudhakara Maurya,5,Yes,92,65,74,B+,Good Pursuance
Rajusingh Yadav,9,No,69,78,47,B,Average Performance
Mathivanan Vishwakarma,6,No,48,53,74,C,Below Average Achivement
Chanda Mishra,1,No,30,31,35,F,Failed
Md Mustafa Divedi,6,No,26,55,86,C,Below Average Achivement
Viknesh Seth,9,Yes,22,93,74,B,Average Performance
Menu Divedi,9,Yes,100,44,69,B+,Good Pursuance
Tinku Kumar Gupta,4,Yes,88,87,66,B+,Good Pursuance
Indal Kumar Devi,3,No,91,59,47,B,Average Performance
Madhubala Sonkar,7,Yes,61,61,14,D,Poor Pursuance
Apan Pratap,9,No,38,76,59,C,Below Average Achivement
Rajitha Mishra,2,Yes,46,69,44,C,Below Average Achivement
Maku Seth,8,Yes,23,24,38,F,Failed
Madhusoodan Vishwakarma,3,Yes,79,80,77,B+,Good Pursuance
Bindusar Seth,9,Yes,70,88,59,B+,Good Pursuance
Nidhi Singh,8,No,26,70,72,C,Below Average Achivement
Romesh Tiwari,4,No,14,92,17,D,Poor Pursuance
Lulun Seth,3,Yes,15,81,98,B,Average Performance
Venkadesh Seth,7,Yes,78,56,74,B,Average Performance
Dharmendar Maurrya,3,Yes,61,61,57,C,Below Average Achivement
Gangaaraam Maurrya,7,Yes,71,33,100,B,Average Performance
Vineet Kumar Thakur,5,No,99,25,61,B,Average Performance
Rajender Kumar Rao,3,No,56,54,57,C,Below Average Achivement
Sarajul Singh,5,No,23,78,97,B,Average Performance
Hruaii Rai,7,No,34,42,10,F,Failed
G R Maurrya,7,Yes,30,80,17,D,Poor Pursuance
Kaml Sonkar,7,Yes,57,81,14,D,Poor Pursuance
Marimuthu Devi,4,No,48,83,73,B,Average Performance
Anveshita Singh,7,No,15,48,23,F,Failed
Bhupat Singh,6,Yes,55,22,77,C,Below Average Achivement
Aashima Yadav,4,No,24,77,100,B,Average Performance
Sharvan Kumar Maurya,7,No,43,53,81,C,Below Average Achivement
Jiva Maurrya,2,Yes,77,45,42,C,Below Average Achivement
Rukmani Divedi,1,Yes,81,88,76,A,Very Good Achivement
सोहन Rajput,1,Yes,71,32,35,D,Poor Pursuance
Sumit Vishwakarma,10,No,42,52,96,B,Average Performance
Shahu Srivastav,9,No,89,43,98,B+,Good Pursuance
Nandkisor Srivastav,7,Yes,13,41,23,F,Failed
Raviteja Gupta,2,No,66,11,37,D,Poor Pursuance
Sokin Pratap,5,No,39,26,58,D,Poor Pursuance
Manjul Devi,7,Yes,37,21,69,D,Poor Pursuance
Pandari Srivastav,4,No,100,47,88,B+,Good Pursuance
Gundappa Rajput,8,Yes,28,47,48,D,Poor Pursuance
Preetham Seth,7,Yes,42,43,87,C,Below Average Achivement
Hasmukh Vishwakarma,2,No,49,13,36,F,Failed
Lawmi Gupta,1,No,57,62,18,D,Poor Pursuance
Asmin Mishra,8,Yes,33,37,44,D,Poor Pursuance
Shahbaj Rai,10,No,46,38,49,D,Poor Pursuance
Jasobanta Maurya,4,Yes,22,59,80,C,Below Average Achivement
Sompal Sonkar,7,Yes,70,21,80,C,Below Average Achivement
Geet Sonkar,3,Yes,16,84,83,B,Average Performance
Đj Divedi,7,No,55,24,24,D,Poor Pursuance
Ikshita Tiwari,1,No,38,52,97,B,Average Performance
Hitanshu Rajput,9,Yes,27,98,99,B+,Good Pursuance
Rohita Maurrya,7,Yes,63,29,76,C,Below Average Achivement
Bhimu Srivastav,7,Yes,27,27,30,F,Failed
Chagala Vishwakarma,9,No,63,63,16,D,Poor Pursuance
Dnyaneshwar Tiwari,9,Yes,97,99,70,A,Very Good Achivement
Rajkisor Maurrya,3,Yes,15,43,29,F,Failed
Aneel Rai,4,No,38,41,27,D,Poor Pursuance
Pooj Pandey,3,No,51,42,93,B,Average Performance
Sagen Srivastav,7,No,88,45,49,C,Below Average Achivement
Jitendra Maurrya,5,Yes,73,55,54,C,Below Average Achivement
Lakshmipathi Thakur,2,No,12,91,44,D,Poor Pursuance
Ashim Tiwari,7,No,72,42,60,C,Below Average Achivement
Shivakari Devi,5,Yes,29,81,56,C,Below Average Achivement
Jakaria Sonkar,8,No,22,49,59,D,Poor Pursuance
Bharat Lal Mishra,10,No,31,89,59,C,Below Average Achivement
Dukhi Rao,10,No,70,82,79,B+,Good Pursuance
Laxminarayana Mishra,2,No,78,79,80,B+,Good Pursuance
Lalith Yadav,9,Yes,86,75,21,C,Below Average Achivement
Reddy Yadav,10,No,33,53,27,D,Poor Pursuance
Juyel Devi,4,No,84,37,44,C,Below Average Achivement
Abha Seth,2,Yes,37,69,69,C,Below Average Achivement
Roopkishor Thakur,3,Yes,81,87,64,B+,Good Pursuance
Attu Pandit,9,No,73,36,54,C,Below Average Achivement
Yamanur Singh,4,No,35,48,31,D,Poor Pursuance
Shobhana Rai,2,Yes,65,24,82,C,Below Average Achivement
Devagya Seth,1,No,66,95,25,B,Average Performance
Vikash Yadav Tiwari,2,Yes,85,94,28,B,Average Performance
Shivjee Kumari,2,No,58,48,68,C,Below Average Achivement
Yamuna Sonkar,7,No,68,57,33,C,Below Average Achivement
रामु Tiwari,5,No,23,31,13,F,Failed
Jigmat Sonkar,10,No,56,51,89,B,Average Performance
Dayaram Maurrya,2,No,47,93,86,B+,Good Pursuance
Biswal Thakur,4,Yes,24,57,11,F,Failed
Jahid Rai,6,No,60,84,21,C,Below Average Achivement
Muniraj Srivastav,8,No,100,50,11,C,Below Average Achivement
Rithvik Pandit,9,Yes,40,79,46,C,Below Average Achivement
Samir Khan Kumar,9,Yes,33,77,71,C,Below Average Achivement
Mufti Seth,6,Yes,44,81,76,B,Average Performance
Sanee Yadav,10,No,27,84,88,B,Average Performance
Dhyan Gupta,2,Yes,51,37,90,C,Below Average Achivement
Razique Seth,6,No,18,57,21,F,Failed
Pinto Tiwari,2,Yes,51,33,76,C,Below Average Achivement
Bavesh Singh,1,No,86,46,65,B,Average Performance
Gandhik Srivastav,6,Yes,67,57,53,C,Below Average Achivement
Raju Kumar Vishwakarma,9,No,39,60,81,C,Below Average Achivement
Cʜocoɭʌtƴ Kumari,7,No,15,88,65,C,Below Average Achivement
Avinandan Pandey,2,No,16,93,50,C,Below Average Achivement
Amrnath Rao,8,Yes,24,47,54,D,Poor Pursuance
Surendra Kumar Kumar,8,No,69,17,62,D,Poor Pursuance
Ramsharan Rajput,1,Yes,73,26,54,C,Below Average Achivement
Padmanabha Seth,9,Yes,97,86,82,A,Very Good Achivement
আমি Thakur,7,Yes,49,29,76,C,Below Average Achivement
Minhaj Rao,2,No,17,75,32,D,Poor Pursuance
Kailash Chandra Kumar,2,No,29,94,73,B,Average Performance
Maharajan Singh,5,Yes,47,39,85,C,Below Average Achivement
Gauri Shankar Devi,8,Yes,25,45,56,D,Poor Pursuance
Manivannan Tiwari,10,No,15,40,98,C,Below Average Achivement
Shajan Pandey,4,No,89,54,49,B,Average Performance
Khurshid Devi,5,Yes,52,14,91,C,Below Average Achivement
Abbash Pandit,2,No,25,27,52,D,Poor Pursuance
Dhanaram Pandey,2,Yes,18,79,95,B,Average Performance
Gorav Maurya,1,Yes,26,87,73,B,Average Performance
Anurodh Pratap,7,Yes,56,92,57,B,Average Performance
Md Babul Kumari,8,Yes,90,81,60,B+,Good Pursuance
Suraj Kumar Thakur,7,Yes,70,93,39,B,Average Performance
Kola Divedi,9,Yes,26,62,17,D,Poor Pursuance
Muksidul Tiwari,1,Yes,56,28,49,D,Poor Pursuance
Sahaya Maurrya,9,No,51,82,38,C,Below Average Achivement
ममता Vishwakarma,8,No,81,46,82,B,Average Performance
Subash Chandra Mishra,8,No,91,25,69,B,Average Performance
Ankush Kumar Tiwari,8,No,93,46,15,C,Below Average Achivement
Maanvi Pandey,7,Yes,49,86,57,B,Average Performance
Ek Yadav,2,No,19,47,78,D,Poor Pursuance
Sasanka Divedi,6,Yes,88,50,21,C,Below Average Achivement
Kanwar Singh,1,No,36,94,31,C,Below Average Achivement
Hetvi Vishwakarma,3,Yes,17,10,48,F,Failed
Ramesh Babu Sonkar,3,No,36,63,81,C,Below Average Achivement
Tetei Rao,10,No,10,17,56,F,Failed
Loga Thakur,6,Yes,28,95,15,D,Poor Pursuance
Fakira Rajput,10,No,19,30,61,D,Poor Pursuance
Danu Divedi,10,No,17,15,69,D,Poor Pursuance
Nayum Sonkar,6,No,80,80,22,C,Below Average Achivement
Sreedhar Mishra,5,No,95,96,16,B,Average Performance
Jabir Mishra,2,No,69,21,55,D,Poor Pursuance
Parthiv Gupta,2,No,77,15,98,B,Average Performance
Kirtan Mishra,8,No,15,88,72,C,Below Average Achivement
Md Jamal Mishra,7,Yes,33,74,56,C,Below Average Achivement
Raj Sharma Sonkar,10,No,12,42,16,F,Failed
Shabeena Mishra,7,No,29,85,42,C,Below Average Achivement
Ranee Pandey,7,No,51,43,80,C,Below Average Achivement
Nantu Srivastav,7,No,57,93,14,C,Below Average Achivement
Rakesh Yadav Divedi,5,Yes,11,25,87,D,Poor Pursuance
Brahmadatta Rai,3,Yes,80,36,46,C,Below Average Achivement
Bhaben Tiwari,2,No,13,47,76,D,Poor Pursuance
Vinay Yadav Rajput,5,No,75,39,71,B,Average Performance
Suhail Pandit,6,No,58,46,64,C,Below Average Achivement
Deven Rao,2,Yes,65,27,63,C,Below Average Achivement
Mrinal Kanti Gupta,7,Yes,70,49,35,C,Below Average Achivement
Sumanto Yadav,7,No,50,95,87,B+,Good Pursuance
Balbir Tiwari,4,Yes,94,72,47,B+,Good Pursuance
Ajibur Singh,10,No,15,100,35,D,Poor Pursuance
Pasupuleti Tiwari,9,No,76,100,47,B+,Good Pursuance
Devaraju Kumari,1,No,25,46,84,C,Below Average Achivement
Narander Sonkar,4,Yes,23,50,75,D,Poor Pursuance
Bansilal Rao,9,No,73,85,21,C,Below Average Achivement
Binti Tiwari,6,Yes,94,35,24,C,Below Average Achivement
Versha Devi,3,Yes,14,80,31,D,Poor Pursuance
Pradeepa Yadav,9,No,40,91,84,B+,Good Pursuance
Sanjit Kumar Yadav,3,Yes,34,35,56,D,Poor Pursuance
Sanowar Kumar,2,Yes,61,15,92,C,Below Average Achivement
Sweta Gupta,5,No,45,33,33,D,Poor Pursuance
Mubashir Gupta,3,No,43,90,54,B,Average Performance
Vighnesh Rajput,2,Yes,29,91,23,D,Poor Pursuance
Khushnuma Sonkar,9,Yes,90,45,89,B+,Good Pursuance
Kaviyarasu Singh,2,No,52,60,33,D,Poor Pursuance
Rashmirekha Divedi,2,Yes,76,82,64,B+,Good Pursuance
Pradum Rai,10,No,78,56,89,B+,Good Pursuance
Jabeer Srivastav,2,Yes,89,82,25,B,Average Performance
Rajavel Singh,10,No,96,39,14,D,Poor Pursuance
Ansarul Thakur,2,Yes,90,100,50,B+,Good Pursuance
Aslam Thakur,9,Yes,89,36,42,C,Below Average Achivement
Aprajita Srivastav,4,Yes,38,82,62,C,Below Average Achivement
Urjita Seth,6,No,83,67,64,B+,Good Pursuance
Data Rao,1,No,45,30,90,C,Below Average Achivement
Arun Kumar Kumar,3,No,34,100,31,C,Below Average Achivement
Bhagyawati Singh,5,Yes,57,53,91,B,Average Performance
Tejkaran Divedi,2,No,45,72,44,C,Below Average Achivement
Faruk Khan Gupta,8,Yes,59,25,73,C,Below Average Achivement
Abdul Majid Rai,7,No,12,46,63,D,Poor Pursuance
Hasibul Yadav,5,Yes,15,11,88,D,Poor Pursuance
Balasaheb Pratap,4,Yes,92,84,63,B+,Good Pursuance
सरवण Thakur,1,No,59,28,21,D,Poor Pursuance
Jitul Srivastav,7,Yes,15,66,80,C,Below Average Achivement
Hemsingh Rai,1,No,99,55,42,B,Average Performance
Mithon Srivastav,1,Yes,53,69,84,B,Average Performance
Lukesh Thakur,8,No,28,63,97,B,Average Performance
Renubala Tiwari,6,No,83,89,91,A,Very Good Achivement
Sumpi Devi,5,No,79,75,24,C,Below Average Achivement
Arpitha Thakur,7,Yes,39,22,11,F,Failed
Prakash Kumar Tiwari,8,No,67,59,63,B,Average Performance
Santana Devi,5,No,32,93,12,D,Poor Pursuance
Oinam Thakur,10,No,24,35,84,D,Poor Pursuance
Jagannatha Thakur,10,No,30,73,91,B,Average Performance
Rijwan Devi,8,Yes,84,49,35,C,Below Average Achivement
Rajrani Thakur,3,No,97,14,19,D,Poor Pursuance
Dhrmendr Yadav,5,No,26,64,14,D,Poor Pursuance
Devidas Maurya,1,No,54,76,80,B,Average Performance
Sukhman Maurrya,6,No,56,36,32,D,Poor Pursuance
Vatan Gupta,3,Yes,73,40,37,D,Poor Pursuance
Prakash Kumar Rajput,7,Yes,56,27,12,F,Failed
Diptimayee Kumari,1,No,68,37,85,B,Average Performance
शिवाजी Maurya,2,No,39,65,98,B,Average Performance
Bhuraram Rao,3,Yes,67,77,33,C,Below Average Achivement
Ovais Vishwakarma,6,No,55,33,94,C,Below Average Achivement
Neerajkumar Yadav,9,No,14,21,56,F,Failed
Chiranjibi Maurrya,3,Yes,15,13,43,F,Failed
Najima Pratap,5,Yes,91,64,41,B,Average Performance
Kutty Gupta,4,Yes,60,71,60,B,Average Performance
Dasari Thakur,7,No,94,70,72,B+,Good Pursuance
Dipanshu Tiwari,3,No,49,70,80,B,Average Performance
Prafull Rai,2,Yes,80,77,40,B,Average Performance
Gudakesha Seth,6,Yes,33,78,84,B,Average Performance
Vaishali Gupta,2,Yes,76,48,22,D,Poor Pursuance
Aagam Singh,3,Yes,90,12,48,D,Poor Pursuance
Papia Divedi,10,No,38,59,84,C,Below Average Achivement
Apurba Srivastav,1,No,89,75,47,B,Average Performance
Veeresha Srivastav,2,Yes,82,26,51,C,Below Average Achivement
Bijay Divedi,8,Yes,59,96,63,B+,Good Pursuance
Jyoti Kumari Kumari,8,No,21,11,44,F,Failed
Sanjeep Pandit,5,No,55,37,13,D,Poor Pursuance
Sharavan Seth,4,Yes,76,67,90,B+,Good Pursuance
Sourya Pandey,9,No,94,17,68,C,Below Average Achivement
Devabrata Thakur,1,No,76,91,69,B+,Good Pursuance
Iqra Pandey,7,No,91,21,26,D,Poor Pursuance
Parthu Mishra,2,Yes,60,64,94,B+,Good Pursuance
Sunli Rai,3,No,77,38,22,D,Poor Pursuance
Shreeshail Rai,9,Yes,65,95,72,B+,Good Pursuance
Shyamu Maurya,3,Yes,75,36,10,D,Poor Pursuance
Santhoshkumar Rai,10,No,11,45,39,F,Failed
Puttaraju Singh,10,No,72,76,43,B,Average Performance
Dhanraj Singh,7,Yes,55,48,17,D,Poor Pursuance
Pragathi Devi,7,No,79,67,15,C,Below Average Achivement
Pagla Yadav,5,No,71,86,95,A,Very Good Achivement
Jayu Thakur,4,No,23,83,44,D,Poor Pursuance
Indarjeet Divedi,2,Yes,60,47,12,D,Poor Pursuance
Kaleshwar Vishwakarma,8,Yes,82,76,20,C,Below Average Achivement
Khusi Singh,9,No,81,65,67,B+,Good Pursuance
Harvendra Thakur,10,No,43,37,35,D,Poor Pursuance
Kalpataru Maurya,7,No,66,99,76,B+,Good Pursuance
Ravindrakumar Rao,1,Yes,16,99,20,D,Poor Pursuance
Nikhila Pandey,3,No,31,23,12,F,Failed
Sathiyaraj Kumar,1,No,33,90,55,C,Below Average Achivement
Aurangzeb Seth,8,No,58,90,77,B+,Good Pursuance
Dula Maurya,3,Yes,43,36,49,D,Poor Pursuance
Annadurai Pandit,8,Yes,66,95,11,C,Below Average Achivement
Kiru Mishra,6,No,97,75,24,B,Average Performance
Om Parkash Sonkar,6,No,20,60,28,D,Poor Pursuance
Kalachand Devi,9,Yes,81,28,71,C,Below Average Achivement
Jaga Kumar,1,No,58,59,91,B,Average Performance
Dhruv Kumar,5,Yes,10,45,27,F,Failed
Md Manjar Pandey,3,No,19,25,45,F,Failed
Sagarika Gupta,10,No,65,18,41,D,Poor Pursuance
Banhishikha Kumar,3,No,87,97,81,A,Very Good Achivement
Dl Divedi,9,Yes,97,82,94,A+,Excellent Performance
Sarfarz Pratap,2,Yes,91,63,79,B+,Good Pursuance
Yash Pal Singh,8,No,11,37,45,F,Failed
Avdhut Tiwari,8,No,41,10,58,D,Poor Pursuance
Basuraj Yadav,8,Yes,13,87,98,B,Average Performance
Ikbal Srivastav,8,No,53,52,30,D,Poor Pursuance
Yukta Devi,4,Yes,71,90,33,B,Average Performance
रतन Divedi,1,No,23,28,47,F,Failed
Bisnu Maurya,4,No,11,66,66,D,Poor Pursuance
Braja Kumari,7,Yes,86,10,28,D,Poor Pursuance
Kalandar Divedi,5,No,86,84,96,A,Very Good Achivement
Dakshata Divedi,10,Yes,17,83,13,D,Poor Pursuance
Radhakishan Pandey,2,No,75,94,66,B+,Good Pursuance
Sadre Vishwakarma,7,Yes,74,60,70,B,Average Performance
Kripa Singh,5,Yes,17,22,28,F,Failed
Mp Devi,8,Yes,88,73,31,B,Average Performance
Yashodha Singh,4,Yes,53,66,72,B,Average Performance
Ramaraj Rajput,3,No,25,27,80,D,Poor Pursuance
Meharban Gupta,4,Yes,75,45,72,B,Average Performance
Hemangini Rao,10,Yes,53,63,83,B,Average Performance
रमेश कुमार Pandey,3,No,90,52,31,C,Below Average Achivement
Daulat Rai,5,No,24,52,96,C,Below Average Achivement
Devika Yadav,5,No,49,60,20,D,Poor Pursuance
Sajith Singh,7,No,65,90,74,B+,Good Pursuance
Sukhdeo Pandey,7,Yes,28,95,54,C,Below Average Achivement
Shaikh Yadav,3,Yes,90,34,34,C,Below Average Achivement
Gudan Vishwakarma,2,No,73,55,11,D,Poor Pursuance
राजेंद्र Seth,10,Yes,82,37,99,B+,Good Pursuance
Nj Srivastav,2,No,81,27,83,B,Average Performance
Nishant Rajput,5,No,49,17,72,D,Poor Pursuance
Bimalendu Divedi,9,Yes,98,60,69,B+,Good Pursuance
Bale Thakur,10,No,34,40,11,F,Failed
Manika Divedi,4,Yes,55,58,50,C,Below Average Achivement
Jass Sonkar,4,No,51,13,81,D,Poor Pursuance
Gajpati Srivastav,2,No,62,93,52,B,Average Performance
रवि कुमार Thakur,10,Yes,62,95,87,A,Very Good Achivement
Jiten Divedi,7,No,56,23,53,D,Poor Pursuance
Hiren Seth,5,No,74,14,91,C,Below Average Achivement
Rupon Pandey,7,Yes,27,24,32,F,Failed
Taposh Mishra,6,Yes,37,12,63,D,Poor Pursuance
Parihar Gupta,4,No,81,62,67,B,Average Performance
Mithil Rajput,8,Yes,17,82,53,D,Poor Pursuance
Ifra Thakur,1,No,86,98,51,B+,Good Pursuance
Yashwanth Divedi,8,No,48,75,67,B,Average Performance
Dularchand Rao,1,Yes,88,88,64,B+,Good Pursuance
Jyoti Prakash Singh,9,No,32,91,97,B+,Good Pursuance
Jeetendra Maurrya,8,Yes,82,19,56,C,Below Average Achivement
Md Alauddin Rai,10,Yes,91,80,25,B,Average Performance
Puranmal Tiwari,1,No,10,65,29,D,Poor Pursuance
Devram Divedi,4,Yes,25,84,35,D,Poor Pursuance
Raghib Tiwari,10,No,16,78,44,D,Poor Pursuance
अतुल Gupta,5,Yes,34,39,61,D,Poor Pursuance
Tilottama Tiwari,7,No,97,36,15,D,Poor Pursuance
Ratneswar Pandit,2,Yes,66,32,72,C,Below Average Achivement
Anita Devi Thakur,3,Yes,86,58,58,B,Average Performance
Rajneesh Singh,4,Yes,96,52,25,C,Below Average Achivement
Magal Vishwakarma,3,No,63,42,50,C,Below Average Achivement
अमन Tiwari,3,Yes,91,90,50,B+,Good Pursuance
Shani Kumar,5,Yes,76,31,37,D,Poor Pursuance
Himalay Singh,8,Yes,22,97,22,D,Poor Pursuance
Kundan Gupta,5,No,59,91,71,B+,Good Pursuance
Pushpraj Devi,10,No,72,43,18,D,Poor Pursuance
Babbu Yadav,5,No,91,100,87,A+,Excellent Performance
Budu Seth,6,No,91,18,21,D,Poor Pursuance
Hits Sonkar,4,Yes,70,52,12,D,Poor Pursuance
Anvar Divedi,9,No,81,52,17,D,Poor Pursuance
Ishan Devi,9,No,20,70,21,D,Poor Pursuance
Khalilur Devi,6,No,60,21,36,D,Poor Pursuance
Sparsh Mishra,8,No,50,74,94,B+,Good Pursuance
Dablu Maurya,10,Yes,96,66,61,B+,Good Pursuance
Chottu Divedi,4,Yes,45,53,14,D,Poor Pursuance
Modassir Divedi,1,No,65,23,75,C,Below Average Achivement
Bariya Rao,4,Yes,67,90,93,A,Very Good Achivement
Anandi Seth,4,Yes,30,74,34,D,Poor Pursuance
Abdus Rajput,4,No,94,11,46,D,Poor Pursuance
Arvind Yadav Pandit,9,No,90,35,54,C,Below Average Achivement
Md Ahmad Maurrya,2,No,16,83,49,D,Poor Pursuance
Rakesh Kumar Tiwari,10,Yes,87,77,26,B,Average Performance
Ashutosh Gupta,4,Yes,32,46,69,D,Poor Pursuance
Samarpita Vishwakarma,6,Yes,38,100,69,B,Average Performance
Roke Thakur,2,Yes,32,49,95,C,Below Average Achivement
Dalimi Pandey,1,Yes,100,15,93,B,Average Performance
Yogesha Mishra,10,No,33,33,86,D,Poor Pursuance
Ayasha Rajput,6,No,57,53,58,C,Below Average Achivement
Ratheesh Sonkar,1,No,33,97,71,B,Average Performance
Mustakin Pandey,6,No,34,35,72,D,Poor Pursuance
Navaneeth Singh,7,Yes,85,71,51,B,Average Performance
Minaketan Vishwakarma,2,No,20,62,65,D,Poor Pursuance
Altaf Mishra,6,Yes,25,59,74,C,Below Average Achivement
Surjeet Pandey,9,No,56,100,13,C,Below Average Achivement
Sureshbhai Tiwari,6,No,31,39,10,F,Failed
Ziaul Gupta,10,Yes,69,37,28,D,Poor Pursuance
Bansilal Rajput,8,Yes,98,13,18,D,Poor Pursuance
Naksh Rao,7,No,92,51,47,B,Average Performance
Bhagabat Srivastav,1,No,77,12,98,B,Average Performance
Viplav Mishra,9,Yes,61,27,64,D,Poor Pursuance
Vedparkash Gupta,9,No,38,68,25,D,Poor Pursuance
Gabinda Tiwari,10,No,27,94,40,C,Below Average Achivement
Dharmeswar Kumar,5,Yes,71,32,72,C,Below Average Achivement
Rahulkumar Rai,7,No,96,80,77,A,Very Good Achivement
Prajith Yadav,2,Yes,100,66,21,B,Average Performance
Rajapandi Vishwakarma,10,Yes,71,46,72,B,Average Performance
Darpana Sonkar,7,Yes,70,25,69,C,Below Average Achivement
Ishaque Rao,9,No,57,70,33,C,Below Average Achivement
Jigmet Pandey,7,Yes,77,39,75,B,Average Performance
Abimanyu Rai,9,No,14,98,13,D,Poor Pursuance
Sharvan Kumar Vishwakarma,10,No,74,60,95,B+,Good Pursuance
Pradip Kumar Vishwakarma,10,No,98,99,92,A+,Excellent Performance
Ankur Kumar Thakur,6,Yes,47,82,31,C,Below Average Achivement
Faijul Kumari,2,Yes,58,97,57,B,Average Performance
Kartik Kumar Pandey,3,No,37,12,55,D,Poor Pursuance
Hars Kumar,1,Yes,66,39,43,D,Poor Pursuance
Vickky Pandit,1,No,23,35,52,D,Poor Pursuance
Brinda Gupta,5,No,60,85,70,B+,Good Pursuance
Aadya Divedi,9,No,38,15,49,D,Poor Pursuance
Bante Srivastav,5,No,93,36,48,C,Below Average Achivement
Joydip Devi,3,Yes,26,35,15,F,Failed
Bhupender Vishwakarma,9,No,18,77,28,D,Poor Pursuance
Papay Seth,9,Yes,16,69,33,D,Poor Pursuance
Dharamdev Kumari,3,Yes,44,48,15,D,Poor Pursuance
Gaurinandan Sonkar,10,No,92,56,46,B,Average Performance
Naocha Divedi,8,Yes,22,28,33,F,Failed
Lawkush Rai,5,Yes,61,95,54,B,Average Performance
Imarn Tiwari,3,Yes,28,65,87,C,Below Average Achivement
Subhra Pandey,4,No,45,60,70,C,Below Average Achivement
Jainal Gupta,6,No,34,32,63,D,Poor Pursuance
Saddan Vishwakarma,9,Yes,58,80,84,B+,Good Pursuance
Santram Yadav,4,Yes,41,51,41,D,Poor Pursuance
Lmran Vishwakarma,2,Yes,77,33,68,C,Below Average Achivement
Pollathavan Srivastav,9,Yes,87,47,67,B,Average Performance
विनोद कुमार Rai,8,Yes,39,42,25,D,Poor Pursuance
Deepak Raj Singh,7,Yes,30,85,68,B,Average Performance
Shyju Sonkar,4,Yes,58,31,74,C,Below Average Achivement
Sahi Divedi,10,No,14,69,19,D,Poor Pursuance
Irrfan Singh,3,Yes,33,28,37,F,Failed
Labanya Singh,6,No,54,39,32,D,Poor Pursuance
Tejpal Mishra,2,No,78,38,47,C,Below Average Achivement
Pradeep Yadav Maurya,4,Yes,47,11,25,F,Failed
Maruthu Gupta,9,Yes,96,80,32,B,Average Performance
Maheshbhai Kumari,7,Yes,89,16,38,D,Poor Pursuance
Boxer Kumari,2,No,36,29,75,D,Poor Pursuance
Henil Rajput,1,No,69,30,10,D,Poor Pursuance
Aarush Sonkar,9,No,55,78,13,D,Poor Pursuance
Katara Kumar,2,Yes,53,52,29,D,Poor Pursuance
Samraggi Devi,4,Yes,25,27,54,D,Poor Pursuance
Shahalom Singh,7,Yes,88,20,24,D,Poor Pursuance
Rinchin Singh,7,Yes,100,55,70,B+,Good Pursuance
Anandh Gupta,2,No,32,16,27,F,Failed
Yuvraj Singh Pratap,5,No,73,60,85,B+,Good Pursuance
Sahir Pandey,6,No,91,67,23,C,Below Average Achivement
Devraj Singh Sonkar,8,No,42,69,47,C,Below Average Achivement
Intzar Kumari,7,No,16,58,83,C,Below Average Achivement
Brejesh Pandey,5,No,38,55,71,C,Below Average Achivement
Sraboni Pandit,1,Yes,63,62,21,D,Poor Pursuance
Shahista Pandit,5,Yes,82,87,20,B,Average Performance
Jayantibhai Yadav,6,Yes,63,24,43,D,Poor Pursuance
Prathvi Seth,10,Yes,46,88,75,B,Average Performance
Litan Pratap,7,No,33,66,45,D,Poor Pursuance
Mayank Divedi,2,Yes,49,24,73,D,Poor Pursuance
Bharathkumar Sonkar,3,Yes,66,44,28,D,Poor Pursuance
Talari Rajput,8,No,63,81,32,C,Below Average Achivement
Pinkee Devi,5,No,30,43,34,D,Poor Pursuance
देवराज Gupta,10,No,90,80,83,A,Very Good Achivement
Tailor Pratap,6,No,17,83,10,D,Poor Pursuance
Sweeti Sonkar,3,No,98,54,37,B,Average Performance
Ramdev Singh,3,Yes,23,56,42,D,Poor Pursuance
Md Anjar Mishra,7,No,41,60,10,D,Poor Pursuance
सुरज Srivastav,2,Yes,46,52,93,B,Average Performance
Vishaal Pandey,9,Yes,97,10,74,C,Below Average Achivement
Gorab Singh,6,No,95,50,96,B+,Good Pursuance
Ruchi Mishra,5,No,32,91,66,B,Average Performance
Kondalarao Maurya,6,Yes,85,19,100,B,Average Performance
Geetanjali Pandey,4,No,31,11,12,F,Failed
Bichitra Rao,3,Yes,50,42,87,C,Below Average Achivement
Abhayraj Rai,6,No,100,58,94,A,Very Good Achivement
Saksham Rao,9,Yes,16,75,86,C,Below Average Achivement
Gourab Seth,7,Yes,29,73,64,C,Below Average Achivement
Vijander Rao,3,No,18,41,72,D,Poor Pursuance
Sangeeth Yadav,2,No,32,60,86,C,Below Average Achivement
Maloti Maurya,2,No,47,64,14,D,Poor Pursuance
Aarish Gupta,5,No,84,58,90,B+,Good Pursuance
Sumanth Yadav,2,No,17,95,26,D,Poor Pursuance
Karimul Gupta,5,No,85,64,70,B+,Good Pursuance
Hitarth Divedi,9,No,88,54,28,C,Below Average Achivement
Zuber Sonkar,3,Yes,64,14,86,C,Below Average Achivement
Hruaii Pratap,8,Yes,65,39,17,D,Poor Pursuance
Shalin Kumar,5,No,35,82,88,B,Average Performance
Ediga Divedi,4,Yes,73,89,96,A,Very Good Achivement
Parikhit Yadav,9,No,77,62,78,B+,Good Pursuance
Afaz Rajput,9,No,98,21,21,D,Poor Pursuance
